bucket,number,state,resolution_class,solved,is_meta,signal_score,relevancy_score,combined_score,n_comments,n_participants,n_xref_merged_prs,reactions_total,reopened,labels,created_at,title,url
3,2216,closed,fixed_merged_pr,True,False,0.4654,0.7837,0.6245,9,3,1,0,0,bug,2024-02-08T12:42:25Z,followme not found in C++,https://github.com/mavlink/MAVSDK/issues/2216
2,1917,closed,abandoned_no_response,False,False,0.4528,0.7916,0.6222,11,2,0,1,0,bug,2022-10-18T20:19:48Z,seg fault when trying to read results of mavsdk::Param::get_all_params,https://github.com/mavlink/MAVSDK/issues/1917
0,2152,closed,answered,True,False,0.3963,0.844,0.6201,6,4,0,0,0,bug,2023-10-10T14:02:13Z,"ArduPlane Takeoff Seg Fault ""Cannot translate flight mode to ArduPilot Plane mode.""",https://github.com/mavlink/MAVSDK/issues/2152
3,2143,closed,answered,True,False,0.5062,0.7339,0.62,14,4,0,1,0,bug,2023-09-20T21:11:47Z,Building MAIN breaks Euler Angle Values - ArduCopter (Returns NaN but works in v1.4.16),https://github.com/mavlink/MAVSDK/issues/2143
3,1685,closed,answered,True,False,0.4137,0.8208,0.6172,11,3,0,0,0,,2022-01-20T17:26:32Z,undefined reference with debian11_armv7 on docker Ubutun18.04 linux/arm/v7,https://github.com/mavlink/MAVSDK/issues/1685
3,2058,closed,fixed_stated,True,False,0.5991,0.6348,0.6169,14,4,0,0,0,,2023-05-26T19:23:36Z,MissionRaw stopped working from v1.2.0 to v1.3.0,https://github.com/mavlink/MAVSDK/issues/2058
3,364,closed,answered,True,False,0.4996,0.7325,0.616,19,5,0,0,0,question,2018-04-13T07:37:56Z,using dronecore with multiple vehicle simlation in ros gazebo,https://github.com/mavlink/MAVSDK/issues/364
0,997,closed,answered,True,False,0.3939,0.838,0.6159,4,2,0,0,0,question,2020-02-28T23:02:50Z,Python wheel for RPI,https://github.com/mavlink/MAVSDK/issues/997
3,720,closed,answered,True,False,0.4992,0.7288,0.614,14,3,0,0,0,,2019-04-09T10:04:50Z,Aborted when download mission,https://github.com/mavlink/MAVSDK/issues/720
3,1729,closed,fixed_merged_pr,True,False,0.5577,0.67,0.6139,9,2,1,1,2,bug,2022-04-05T03:51:10Z,std::optional for CommandLong always returns true. Causes fault on Ardupilot,https://github.com/mavlink/MAVSDK/issues/1729
3,2282,closed,answered,True,False,0.4609,0.7667,0.6138,25,3,0,0,0,enhancement,2024-04-15T23:19:27Z,Mavsdk app fails to build on GLIBC 2.31,https://github.com/mavlink/MAVSDK/issues/2282
3,2431,closed,answered,True,False,0.4609,0.7648,0.6129,17,3,0,0,0,,2024-10-22T20:44:30Z,Camera Commands Infinite loop with gazebo sitl with typhoon model,https://github.com/mavlink/MAVSDK/issues/2431
3,1507,closed,fixed_merged_pr,True,False,0.5155,0.7091,0.6123,23,3,1,0,0,,2021-08-12T12:06:56Z,Testing an 'Unsupported component' with sitl?,https://github.com/mavlink/MAVSDK/issues/1507
3,2183,closed,answered,True,False,0.4553,0.768,0.6117,18,3,0,0,0,,2023-11-15T20:06:13Z,MAVSDK remote control hangs,https://github.com/mavlink/MAVSDK/issues/2183
3,2862,closed,fixed_merged_pr,True,False,0.5595,0.6616,0.6105,7,3,2,0,0,,2026-04-14T00:12:52Z,MavlinkDirect does not receive some messages via serial,https://github.com/mavlink/MAVSDK/issues/2862
3,871,closed,answered,True,False,0.4871,0.732,0.6096,8,3,0,0,0,bug,2019-10-03T17:02:01Z,mavsdk_server crashes when a geofence is uploaded,https://github.com/mavlink/MAVSDK/issues/871
